ID,ETA status,ETA type,Difference with ETA,Deliveries,Attachments,Loading date,Loading period,Unloading date,Unloading period,ZIP - Origin,City - Origin,Region - Origin,Country - Origin,Unique destinations,ZIP - Destination,City - Destination,Region - Destination,Country - Destination,Quote request type,Quote request,Quote request currency,Quote request comment,Vehicle (Requirement),Weight,Weight unit
195,None,, ,1,0,2022-07-13,06:00 - 07:00,2022-07-14,08:00 - 16:00,52333,Potpican,,HR,1,11000,Beograd,,RS,, 0.00 ,,,Truck 100 m3 NO," 6,615.58 ",kg
196,None,, ,1,0,2022-07-13,06:00 - 07:00,2022-07-14,00:00 - 23:59,52333,Potpican,,HR,1,6055,Felsőlajos,,HU,, 0.00 ,,,Truck 100 m3 NO," 10,917.72 ",kg
197,None,, ,1,1,2022-07-11,11:00 - 11:30,2022-07-14,08:00 - 17:00,31380,Caparroso,,ES,1,31024,ORMELLE,,IT,, 0.00 ,,,Megatrailer 95 m3," 12,125.52 ",kg
198,None,, ,1,1,2022-07-12,06:00 - 07:00,2022-07-14,08:00 - 17:00,52333,Potpican,,HR,1,10042,Nichelino,,IT,, 0.00 ,,,Truck 100 m3 NO," 6,828.80 ",kg
199,None,, ,1,0,2022-07-12,17:00 - 18:00,2022-07-13,08:00 - 16:00,52333,Potpican,,HR,1,49210,Zabok,,HR,, 0.00 ,,,Truck 100 m3 NO," 6,990.72 ",kg
200,None,, ,1,1,2022-07-12,06:00 - 07:00,2022-07-13,08:00 - 16:00,52333,Potpican,,HR,1,25015,DESENZANO D/G,,IT,, 0.00 ,,,Truck 100 m3 NO," 6,195.87 ",kg
201,None,, ,1,0,2022-07-12,06:00 - 07:00,2022-07-13,07:00 - 16:00,52333,Potpican,,HR,1,3451,Michelhausen,,AT,, 0.00 ,,,Truck 100 m3 NO," 12,073.90 ",kg
202,None,, ,1,0,2022-07-12,06:00 - 07:00,2022-07-13,00:00 - 23:59,52333,Potpican,,HR,1,6055,Felsőlajos,,HU,, 0.00 ,,,Truck 100 m3 NO," 8,669.87 ",kg
203,None,, ,1,1,2022-07-11,09:00 - 10:00,2022-07-13,08:00 - 16:00,52333,Potpican,,HR,1,50058,SIGNA,,IT,, 0.00 ,,,Truck 100 m3 NO," 5,852.35 ",kg
204,None,, ,1,0,2022-07-11,17:00 - 18:00,2022-07-12,08:00 - 16:00,52333,Potpican,,HR,1,10000,Zagreb,,HR,, 0.00 ,,,Truck 100 m3 NO," 6,888.48 ",kg
205,None,, ,1,0,2022-07-11,06:00 - 07:00,2022-07-12,08:00 - 16:00,52333,Potpican,,HR,1,51223,Kukuljanovo,,HR,, 0.00 ,,,Truck 100 m3 NO," 6,615.58 ",kg
206,None,, ,1,0,2022-07-11,12:00 - 13:00,2022-07-12,08:00 - 16:00,52333,Potpican,,HR,1,40013,CASTEL MAGGIORE,,IT,, 0.00 ,,,Truck 100 m3 NO," 9,327.65 ",kg
207,None,, ,1,1,2022-07-11,16:00 - 17:00,2022-07-12,08:00 - 17:00,52333,Potpican,,HR,1,24020,FIORANO SUL SERIO,,IT,, 0.00 ,,,Truck 100 m3 NO," 10,290.72 ",kg
208,None,, ,1,0,2022-07-11,12:00 - 13:00,2022-07-12,07:00 - 16:00,52333,Potpican,,HR,1,3451,Michelhausen,,AT,, 0.00 ,,,Truck 100 m3 NO," 9,230.25 ",kg
209,None,, ,1,0,2022-07-11,19:00 - 20:00,2022-07-12,00:00 - 23:59,52333,Potpican,,HR,1,6055,Felsőlajos,,HU,, 0.00 ,,,Truck 100 m3 NO," 8,669.87 ",kg
210,None,, ,1,1,2022-07-08,11:00 - 12:00,2022-07-12,08:00 - 17:00,52333,Potpican,,HR,1,10042,Nichelino,,IT,, 0.00 ,,,Truck 100 m3 NO," 6,828.80 ",kg
211,None,, ,1,0,2022-07-08,18:00 - 19:00,2022-07-11,08:00 - 16:00,52333,Potpican,,HR,1,23241,Poličnik,,HR,, 0.00 ,,,Truck 100 m3 NO," 10,365.47 ",kg
212,None,, ,1,1,2022-07-08,17:00 - 18:00,2022-07-11,08:00 - 17:00,52333,Potpican,,HR,1,38121,Spini di Gardolo,,IT,, 0.00 ,,,Truck 100 m3 NO," 5,941.06 ",kg
213,None,, ,1,0,2022-07-08,14:00 - 15:00,2022-07-11,08:00 - 16:00,52333,Potpican,,HR,1,40013,CASTEL MAGGIORE,,IT,, 0.00 ,,,Truck 100 m3 NO," 9,483.55 ",kg
214,None,, ,1,0,2022-07-08,13:00 - 14:00,2022-07-11,08:00 - 17:00,52333,Potpican,,HR,1,47521,CESENA,,IT,, 0.00 ,,,Truck 100 m3 NO," 8,843.54 ",kg
215,None,, ,1,1,2022-07-07,16:00 - 17:00,2022-07-11,08:00 - 17:00,52333,Potpican,,HR,1,10042,Nichelino,,IT,, 0.00 ,,,Truck 100 m3 NO," 8,371.00 ",kg
216,None,, ,2,0,2022-07-07,06:00 - 07:00,2022-07-08,08:00 - 16:00,52333,Potpican,,HR,2,88320,LJUBUŠKI,,BA,, 0.00 ,,,Truck 100 m3 NO," 6,509.76 ",kg
217,None,, ,1,0,2022-07-07,18:00 - 19:00,2022-07-08,08:00 - 16:00,52333,Potpican,,HR,1,51223,Kukuljanovo,,HR,, 0.00 ,,,Truck 100 m3 NO," 6,615.58 ",kg
218,None,, ,1,1,2022-07-07,06:00 - 07:00,2022-07-08,08:00 - 16:00,52333,Potpican,,HR,1,33080,San Quirino,,IT,, 0.00 ,,,Truck 100 m3 NO," 11,611.37 ",kg
219,None,, ,1,0,2022-07-07,13:00 - 14:00,2022-07-08,08:00 - 16:00,52333,Potpican,,HR,1,74000,Doboj,,BA,, 0.00 ,,,Truck 100 m3 NO," 6,357.12 ",kg
220,None,, ,1,1,2022-07-06,11:00 - 12:00,2022-07-08,08:00 - 16:00,52333,Potpican,,HR,1,10042,Nichelino,,IT,, 0.00 ,,,Truck 100 m3 NO," 8,371.00 ",kg
221,None,, ,2,0,2022-07-06,13:00 - 14:00,2022-07-07,08:00 - 16:00,52333,Potpican,,HR,2,10437,Bestovje,,HR,, 0.00 ,,,Truck 100 m3 NO," 6,957.60 ",kg
222,None,, ,1,0,2022-07-06,11:00 - 12:00,2022-07-07,08:00 - 16:00,52333,Potpican,,HR,1,40013,CASTEL MAGGIORE,,IT,, 0.00 ,,,Truck 100 m3 NO," 11,851.91 ",kg
223,None,, ,1,1,2022-07-06,09:00 - 10:00,2022-07-07,08:00 - 17:00,52333,Potpican,,HR,1,20093,Cologno Monzese,,IT,, 0.00 ,,,Truck 100 m3 NO," 5,961.22 ",kg
224,None,, ,1,0,2022-07-06,19:00 - 20:00,2022-07-07,07:00 - 16:00,52333,Potpican,,HR,1,3451,Michelhausen,,AT,, 0.00 ,,,Truck 100 m3 NO," 12,073.90 ",kg
225,None,, ,1,0,2022-07-06,12:00 - 13:00,2022-07-07,00:00 - 23:59,52333,Potpican,,HR,1,6055,Felsőlajos,,HU,, 0.00 ,,,Truck 100 m3 NO," 10,754.83 ",kg
226,None,, ,1,1,2022-07-05,06:00 - 07:00,2022-07-07,08:00 - 17:00,52333,Potpican,,HR,1,15068,Pozzolo Formigaro,,IT,, 0.00 ,,,Truck 100 m3 NO," 8,843.54 ",kg
227,None,, ,1,1,2022-07-05,06:00 - 07:00,2022-07-07,08:00 - 17:00,52333,Potpican,,HR,1,10042,Nichelino,,IT,, 0.00 ,,,Truck 100 m3 NO," 8,371.00 ",kg
228,None,, ,1,0,2022-07-05,15:00 - 16:00,2022-07-06,08:00 - 16:00,52333,Potpican,,HR,1,10290,Zaprešić,,HR,, 0.00 ,,,Truck 100 m3 NO," 6,357.12 ",kg
229,None,, ,1,1,2022-07-05,15:00 - 16:00,2022-07-06,08:00 - 17:00,52333,Potpican,,HR,1,37060,Trevenzuolo,,IT,, 0.00 ,,,Truck 100 m3 NO," 8,843.54 ",kg
230,None,, ,1,0,2022-07-05,15:00 - 16:00,2022-07-06,08:00 - 16:00,52333,Potpican,,HR,1,40013,CASTEL MAGGIORE,,IT,, 0.00 ,,,Truck 100 m3 NO," 6,761.57 ",kg
231,None,, ,1,1,2022-07-05,13:00 - 14:00,2022-07-06,08:00 - 16:00,52333,Potpican,,HR,1,24054,CALCIO,,IT,, 0.00 ,,,Truck 100 m3 NO," 5,843.33 ",kg
232,None,, ,1,0,2022-07-05,11:00 - 12:00,2022-07-06,07:00 - 16:00,52333,Potpican,,HR,1,3451,Michelhausen,,AT,, 0.00 ,,,Truck 100 m3 NO," 9,230.25 ",kg
233,None,, ,1,0,2022-07-05,06:00 - 07:00,2022-07-06,08:00 - 16:00,52333,Potpican,,HR,1,76316,Janja,,BA,, 0.00 ,,,Truck 100 m3 NO," 7,152.00 ",kg
234,None,, ,1,1,2022-07-04,10:00 - 11:00,2022-07-06,08:00 - 17:00,52333,Potpican,,HR,1,10095,GRUGLIASCO,,IT,, 0.00 ,,,Truck 100 m3 NO," 10,290.72 ",kg
235,None,, ,1,1,2022-07-04,14:00 - 15:00,2022-07-05,08:00 - 17:00,52333,Potpican,,HR,1,37060,Trevenzuolo,,IT,, 0.00 ,,,Truck 100 m3 NO," 8,843.54 ",kg
236,None,, ,1,0,2022-07-04,16:00 - 17:00,2022-07-05,08:00 - 16:00,52333,Potpican,,HR,1,34000,Požega,,HR,, 0.00 ,,,Truck 100 m3 NO," 7,068.48 ",kg
237,None,, ,1,0,2022-07-04,13:00 - 14:00,2022-07-05,08:00 - 16:00,52333,Potpican,,HR,1,40013,CASTEL MAGGIORE,,IT,, 0.00 ,,,Truck 100 m3 NO," 10,290.72 ",kg
238,None,, ,1,1,2022-07-04,12:00 - 13:00,2022-07-05,08:00 - 16:00,52333,Potpican,,HR,1,20139,MILANO,,IT,, 0.00 ,,,Truck 100 m3 NO," 6,062.05 ",kg
239,None,, ,1,0,2022-07-04,12:00 - 13:00,2022-07-05,00:00 - 23:59,52333,Potpican,,HR,1,6055,Felsőlajos,,HU,, 0.00 ,,,Truck 100 m3 NO," 10,917.72 ",kg
240,None,, ,1,0,2022-07-04,15:00 - 16:00,2022-07-05,00:00 - 23:59,52333,Potpican,,HR,1,6055,Felsőlajos,,HU,, 0.00 ,,,Truck 100 m3 NO," 10,754.83 ",kg
241,None,, ,1,1,2022-07-01,13:00 - 14:00,2022-07-05,08:00 - 17:00,52333,Potpican,,HR,1,10042,Nichelino,,IT,, 0.00 ,,,Truck 100 m3 NO," 8,371.00 ",kg
242,None,, ,2,2,2022-07-01,13:00 - 14:00,2022-07-05,08:00 - 16:00,52333,Potpican,,HR,2,73049,RUFFANO,,IT,, 0.00 ,,,Truck 100 m3 NO," 4,708.32 ",kg
243,None,, ,1,0,2022-07-01,06:00 - 07:00,2022-07-04,08:00 - 16:00,52333,Potpican,,HR,1,51223,Kukuljanovo,,HR,, 0.00 ,,,Truck 100 m3 NO," 6,615.58 ",kg
244,None,, ,1,0,2022-07-01,14:00 - 15:00,2022-07-04,08:00 - 16:00,52333,Potpican,,HR,1,10000,Zagreb,,HR,, 0.00 ,,,Truck 100 m3 NO," 6,134.11 ",kg
245,None,, ,1,1,2022-07-01,19:00 - 20:00,2022-07-04,08:00 - 17:00,52333,Potpican,,HR,1,37060,Trevenzuolo,,IT,, 0.00 ,,,Truck 100 m3 NO," 8,843.54 ",kg
246,None,, ,1,0,2022-07-01,17:00 - 18:00,2022-07-04,08:00 - 16:00,52333,Potpican,,HR,1,40013,CASTEL MAGGIORE,,IT,, 0.00 ,,,Truck 100 m3 NO," 6,761.57 ",kg
247,None,, ,1,0,2022-07-01,20:00 - 21:00,2022-07-04,07:00 - 16:00,52333,Potpican,,HR,1,3451,Michelhausen,,AT,, 0.00 ,,,Truck 100 m3 NO," 12,073.90 ",kg
248,None,, ,1,0,2022-07-01,11:00 - 11:30,2022-07-04,08:00 - 17:00,31380,Caparroso,,ES,1,47521,CESENA,,IT,, 0.00 ,,,Megatrailer 95 m3," 7,597.81 ",kg
249,None,, ,2,0,2022-06-30,12:00 - 13:00,2022-07-01,08:00 - 16:00,52333,Potpican,,HR,2,21204,Dugopolje,,HR,, 0.00 ,,,Truck 100 m3 NO," 5,120.64 ",kg
250,None,, ,1,1,2022-06-30,06:00 - 07:00,2022-07-01,08:00 - 16:00,52333,Potpican,,HR,1,45020,GIACCIANO CON BARUCHELLA,,IT,, 0.00 ,,,Truck 100 m3 NO," 5,698.48 ",kg
251,None,, ,1,0,2022-06-30,17:00 - 18:00,2022-07-01,08:00 - 16:00,52333,Potpican,,HR,1,74000,Doboj,,BA,, 0.00 ,,,Truck 100 m3 NO," 6,357.12 ",kg
252,None,, ,1,1,2022-06-29,11:00 - 12:00,2022-07-01,08:00 - 16:00,52333,Potpican,,HR,1,64010,Ancarano,,IT,, 0.00 ,,,Truck 100 m3 NO," 7,707.85 ",kg
253,None,, ,1,1,2022-06-29,18:00 - 19:00,2022-06-30,08:00 - 17:00,52333,Potpican,,HR,1,33010,Venzone,,IT,, 0.00 ,,,Truck 100 m3 NO," 7,668.83 ",kg
254,None,, ,1,0,2022-06-29,12:00 - 13:00,2022-06-30,08:00 - 16:00,52333,Potpican,,HR,1,40013,CASTEL MAGGIORE,,IT,, 0.00 ,,,Truck 100 m3 NO," 6,097.73 ",kg
255,None,, ,1,1,2022-06-29,13:00 - 14:00,2022-06-30,08:00 - 16:00,52333,Potpican,,HR,1,20010,VANZAGO,,IT,, 0.00 ,,,Truck 100 m3 NO," 10,170.91 ",kg
256,None,, ,1,0,2022-06-29,14:00 - 15:00,2022-06-30,07:00 - 16:00,52333,Potpican,,HR,1,3451,Michelhausen,,AT,, 0.00 ,,,Truck 100 m3 NO," 9,230.25 ",kg
257,None,, ,1,0,2022-06-29,15:00 - 16:00,2022-06-30,08:00 - 16:00,52333,Potpican,,HR,1,71000,Sarajevo,,BA,, 0.00 ,,,Truck 100 m3 NO," 6,293.76 ",kg
258,None,, ,2,1,2022-06-28,15:00 - 16:00,2022-06-30,08:00 - 16:00,52333,Potpican,,HR,2,75100,MATERA,,IT,, 0.00 ,,,Truck 100 m3 NO," 4,645.38 ",kg
259,None,, ,1,0,2022-06-28,18:00 - 19:00,2022-06-30,08:00 - 17:00,52333,Potpican,,HR,1,64010,Ancarano,,IT,, 0.00 ,,,Truck 100 m3 NO," 7,707.85 ",kg
260,None,, ,1,0,2022-06-28,13:00 - 14:00,2022-06-29,08:00 - 16:00,52333,Potpican,,HR,1,40013,CASTEL MAGGIORE,,IT,, 0.00 ,,,Truck 100 m3 NO," 5,866.46 ",kg
261,None,, ,1,0,2022-06-28,15:00 - 16:00,2022-06-29,07:00 - 16:00,52333,Potpican,,HR,1,3451,Michelhausen,,AT,, 0.00 ,,,Truck 100 m3 NO," 9,230.25 ",kg
262,None,, ,1,1,2022-06-28,14:00 - 15:00,2022-06-29,08:00 - 17:00,52333,Potpican,,HR,1,24040,Madone,,IT,, 0.00 ,,,Truck 100 m3 NO," 5,852.35 ",kg
263,None,, ,1,0,2022-06-28,16:00 - 17:00,2022-06-29,00:00 - 23:59,52333,Potpican,,HR,1,6055,Felsőlajos,,HU,, 0.00 ,,,Truck 100 m3 NO," 10,917.72 ",kg
264,None,, ,1,1,2022-06-28,17:00 - 18:00,2022-06-29,08:00 - 17:00,52333,Potpican,,HR,1,10042,Nichelino,,IT,, 0.00 ,,,Truck 100 m3 NO," 8,371.00 ",kg
265,None,, ,1,0,2022-06-27,16:00 - 17:00,2022-06-29,08:00 - 16:00,52333,Potpican,,HR,1,05039,STRONCONE,,IT,, 0.00 ,,,Truck 100 m3 NO," 6,761.57 ",kg
266,None,, ,1,1,2022-06-27,13:00 - 14:00,2022-06-29,07:30 - 12:00,52333,Potpican,,HR,1,26817,SAN MARTINO IN STRADA,,IT,, 0.00 ,,,Truck 100 m3 NO," 7,028.74 ",kg
267,None,, ,1,0,2022-06-27,18:00 - 19:00,2022-06-29,08:00 - 17:00,52333,Potpican,,HR,1,64010,Ancarano,,IT,, 0.00 ,,,Truck 100 m3 NO," 7,707.85 ",kg
268,None,, ,1,1,2022-06-27,12:00 - 13:00,2022-06-29,08:00 - 17:00,52333,Potpican,,HR,1,17038,Villanova d'Albenga,,IT,, 0.00 ,,,Truck 100 m3 NO," 6,822.29 ",kg
269,None,, ,1,1,2022-06-27,11:00 - 12:00,2022-06-28,08:00 - 17:00,52333,Potpican,,HR,1,37060,RONCANOVA DI GAZZO VERONESE,,IT,, 0.00 ,,,Truck 100 m3 NO," 5,742.88 ",kg
270,None,, ,1,0,2022-06-27,15:00 - 16:00,2022-06-28,08:00 - 16:00,52333,Potpican,,HR,1,74000,Doboj,,BA,, 0.00 ,,,Truck 100 m3 NO," 6,357.12 ",kg
271,None,, ,1,0,2022-06-27,06:00 - 07:00,2022-06-28,08:00 - 17:00,52333,Potpican,,HR,1,47521,CESENA,,IT,, 0.00 ,,,Truck 100 m3 NO," 7,707.85 ",kg
272,None,, ,1,1,2022-06-27,14:00 - 15:00,2022-06-28,08:00 - 17:00,52333,Potpican,,HR,1,20094,Corsico,,IT,, 0.00 ,,,Truck 100 m3 NO," 10,597.32 ",kg
273,None,, ,1,0,2022-06-27,06:00 - 07:00,2022-06-28,00:00 - 23:59,52333,Potpican,,HR,1,6055,Felsőlajos,,HU,, 0.00 ,,,Truck 100 m3 NO," 10,917.72 ",kg
274,None,, ,1,0,2022-06-27,17:00 - 18:00,2022-06-28,00:00 - 23:59,52333,Potpican,,HR,1,6055,Felsőlajos,,HU,, 0.00 ,,,Truck 100 m3 NO," 10,917.72 ",kg
275,None,, ,1,1,2022-06-24,11:00 - 12:00,2022-06-28,08:00 - 16:00,52333,Potpican,,HR,1,61032,FANO,,IT,, 0.00 ,,,Truck 90 m3," 5,931.84 ",kg
276,None,, ,1,1,2022-06-24,07:00 - 08:00,2022-06-28,08:00 - 16:00,52333,Potpican,,HR,1,12062,CHERASCO,,IT,, 0.00 ,,,Truck 90 m3," 5,586.24 ",kg
277,None,, ,1,1,2022-06-24,18:00 - 19:00,2022-06-28,08:00 - 17:00,52333,Potpican,,HR,1,64010,Ancarano,,IT,, 0.00 ,,,Truck 100 m3 NO," 7,707.85 ",kg
278,None,, ,1,1,2022-06-24,13:00 - 14:00,2022-06-28,06:30 - 07:30,52333,Potpican,,HR,1,00173,ROMA,,IT,, 0.00 ,,,Truck 100 m3 NO," 6,666.04 ",kg
279,None,, ,1,0,2022-06-24,10:00 - 11:00,2022-06-27,08:00 - 16:00,52333,Potpican,,HR,1,40013,CASTEL MAGGIORE,,IT,, 0.00 ,,,Truck 100 m3 NO," 5,836.22 ",kg
280,None,, ,1,0,2022-06-24,16:00 - 17:00,2022-06-27,08:00 - 16:00,52333,Potpican,,HR,1,78000,Banja Luka,,BA,, 0.00 ,,,Truck 100 m3 NO," 7,044.00 ",kg
281,None,, ,1,1,2022-06-24,15:00 - 16:00,2022-06-27,08:00 - 16:00,52333,Potpican,,HR,1,21056,INDUNO OLONA,,IT,, 0.00 ,,,Truck 100 m3 NO," 5,078.40 ",kg
282,None,, ,1,1,2022-06-23,10:00 - 11:00,2022-06-27,08:00 - 17:00,52333,Potpican,,HR,1,64010,Ancarano,,IT,, 0.00 ,,,Truck 100 m3 NO," 7,707.85 ",kg
283,None,, ,1,1,2022-06-23,15:00 - 16:00,2022-06-24,08:00 - 16:00,52333,Potpican,,HR,1,31032,CASALE SUL SILE,,IT,, 0.00 ,,,Truck 90 m3," 9,219.60 ",kg
284,None,, ,1,0,2022-06-23,16:00 - 17:00,2022-06-24,08:00 - 16:00,52333,Potpican,,HR,1,78000,Banja Luka,,BA,, 0.00 ,,,Truck 100 m3 NO," 7,022.40 ",kg
285,None,, ,1,1,2022-06-23,17:00 - 18:00,2022-06-24,08:00 - 16:00,52333,Potpican,,HR,1,24057,MARTINENGO,,IT,, 0.00 ,,,Truck 100 m3 NO," 10,772.52 ",kg
286,None,, ,1,0,2022-06-23,15:00 - 16:00,2022-06-24,08:00 - 16:00,52333,Potpican,,HR,1,22310,Šimanovci,,RS,, 0.00 ,,,Truck 100 m3 NO," 8,258.29 ",kg
287,None,, ,1,0,2022-06-21,09:00 - 10:00,2022-06-23,08:00 - 16:00,52333,Potpican,,HR,1,51223,Kukuljanovo,,HR,, 0.00 ,,,Truck 100 m3 NO," 7,228.32 ",kg
288,None,, ,1,1,2022-06-21,18:00 - 19:00,2022-06-23,08:00 - 17:00,52333,Potpican,,HR,1,10042,Nichelino,,IT,, 0.00 ,,,Truck 100 m3 NO," 6,828.80 ",kg
289,None,, ,1,1,2022-06-21,18:00 - 19:00,2022-06-23,08:00 - 17:00,52333,Potpican,,HR,1,64010,Ancarano,,IT,, 0.00 ,,,Truck 100 m3 NO," 8,843.54 ",kg
290,None,, ,1,1,2022-06-21,20:00 - 21:00,2022-06-23,08:00 - 17:00,52333,Potpican,,HR,1,64010,Ancarano,,IT,, 0.00 ,,,Truck 100 m3 NO," 8,843.54 ",kg
291,None,, ,1,0,2022-06-20,17:00 - 18:00,2022-06-23,08:00 - 16:00,52333,Potpican,,HR,1,06087,BALANZANO,,IT,, 0.00 ,,,Truck 100 m3 NO," 10,772.52 ",kg
292,None,, ,1,0,2022-06-21,15:00 - 16:00,2022-06-22,00:00 - 23:59,52333,Potpican,,HR,1,6055,Felsőlajos,,HU,, 0.00 ,,,Truck 100 m3 NO," 10,917.72 ",kg
